lin_check,Genotype,rowgroup,colgroup,row,col,yield7,panicle_len7,thou_grain_wt7,grain_per_pan7,effective_tiller7,dis_march15,greenness_z65,greenness_z75,greenness_z85,LAUG_65_75,LAUG_75_85,plht,lar,ctd,chl_ind1_2,chl_ind2_2,days_to_head,days_to_anth,Jan_23_2017,Jan_26_2017,Jan_29_2017,Feb_02_2017,Feb_06_2017,Feb_23_2017,line_or_check,check_or_line,is_line,is_check,conv,conf,interaction_rc
L40,KACHU*2/MUNAL #1,5,4,20,10,3.1957744435024997,14.37563052132637,35.9812265512385,21.8336821331978,27,1,8.5,7.268,5.94,112.377548109639,100.07279466653,97,36.845599993680004,12.145,45.85,45.63333333,75,84,Before booting,Before booting,Before booting,Booting plus,Spikes appearing,,L40,line,1,0,1,0,5.4
3,Gautam,5,3,20,9,3.03363897411261,18.74700947445211,39.6677982544297,29.7125141296531,24,2,7.77,7.48,5.15,101.970335252,95.0014842420124,101,27.8566666626,10.92666667,45.23333333,50.75,65,72,Spikes appearing,Spikes appearing,One fourth of spikes appeared plus,Anthesis stage II,Anthesis stage IV,,check,3,0,1,0,1,5.3
2,Bhrikuti,5,3,19,9,2.73674137335216,15.677337283031866,41.957711561668,25.1806987001136,28,2.5,7.12,6.53,3.19,95.0242691693243,88.681607561693,88,32.09777776568889,11.100000000000001,42.13333333,36.1,64,72,Spikes appearing,One fourth of spikes appeared,Half spikes appeared plus,Anthesis stage II,Anthesis advanced,,check,2,0,1,0,1,5.3
L76,PBW343*2/KUKUNA//PBW343*2/KUKUNA/6/WBLL1*2/...,5,3,18,9,3.3615155680204696,14.330153258041127,42.6806220173905,25.7161312253611,33,2.5,8.75,3.99,3.85,91.3804340967864,31.335114943965,107,32.165,11.6357142857142,47.85,40.26666667,75,82,Before booting,Before booting,Before booting,Awns appearing,Awns appearing plus,,L76,line,1,0,1,0,5.3
4,Tilottama,5,3,17,9,3.95394757763974,15.752983099120671,35.39916182,29.6156833674731,52,2.5,8.37,7.16,7.29,112.425541061704,107.76040602089,104,30.880000000000003,11.304761901428499,44.66666667,38.35,62,72,Spikes appearing,Half spikes appeared,Three fourth of spikes appeared,Anthesis stage II,Anthesis stage IV plus,,check,4,0,1,0,1,5.3
2,Bhrikuti,4,3,16,9,4.61049051833122,16.959497481023018,34.800748165,29.5754905874574,36,3,7.79,5.73,4.54,104.423643192459,67.1220607810182,92,43.460000008200005,11.5238095271428,49.25,36.4,66,73,Awns appearing,Spikes appearing,One fourth of spikes appeared,Anthesis stage I,Anthesis stage III,,check,2,0,1,0,1,4.3
L28,KISKADEE #1/5/KAUZ*2/MNV//KAUZ/3/MILAN/4/...,4,3,15,9,4.10334167764853,14.933951907223927,39.7596986485828,22.6425661015648,47,3.5,8.54,4.17,4.15,98.60481624,75.3812745724391,92.5,56.062799999999996,12.742857142857098,44.925,39.03333333,74,80,Before booting,Before booting,Booting plus,Spikes appearing plus,One fourth of spikes appeared,,L28,line,1,0,1,0,4.3
L41,KACHU/2*MUNAL #1,4,3,14,9,,,,,34,3.5,8,4.86,4.26,92.405914193917,60.8401899385111,98,36.808125000000004,10.4535714285714,44.95,27,65,73,Awns appearing,Spikes appearing,Half spikes appeared,Anthesis stage I,Anthesis stage IV minus,,L41,line,1,0,1,0,4.3
4,Tilottama,4,3,13,9,3.7061714285714196,14.454269673686186,33.0664502159423,26.4627264709516,35,1.5,7.4,5.34,2.13,100.209305161877,58.7443035348009,90,41.423333339,10.980952384285699,47.8,34.35,61,70,One fourth of spikes appeared,One fourth of spikes appeared,Spikes have fully emerged minus,Anthesis stage III,Anthesis advanced,,check,4,0,1,0,1,4.3
L83,PICAFLOR #1/8/NG8201/KAUZ/4/SHA7//PRL/VEE#6/...,3,3,12,9,,15.668404650983858,,,32,2.5,8.51,5.44,5.32,104.002600677114,72.1055266258573,91.5,25.575000000000003,9.825,42.7,19.3,69,78,Swollen boot,Awns appearing,Awns appearing plus,One fourth of spikes appeared,Anthesis stage I,,L83,line,1,0,1,0,3.3
1,Aditya,3,3,11,9,3.6029490347490203,16.71609672138084,33.6977337419346,27.3303508290515,24,1.5,7.58,7.16,4.46,106.790615271541,91.3624593142677,93,53.61777776208889,10.149999996666601,47.23333333,37.85,66,73,Awns appearing,Spikes appearing,Half spikes appeared minus,Anthesis stage I,Anthesis stage II plus,,check,1,0,1,0,1,3.3
3,Gautam,3,3,10,9,4.49459070370917,16.866866959758298,40.8456899449198,31.3663545518414,38,2,7.46,7.25,2.53,102.7048182858,73.9395302330166,108,38.61111112438889,11.2000000033333,44.06666667,43.85,68,75,Awns appearing,Awns appearing,Spikes appearing,Spikes have fully emerged plus,Anthesis stage II,,check,3,0,1,0,1,3.3
L5,DANPHE/CHONTE,3,3,9,9,2.42072896157688,15.488609665147107,34.6319421325262,21.9489928228706,33,1,8.16,3.23,3.14,74.2694845714475,40.7412071856141,109.5,34.935,11.05,45.025,39.36666667,75,85,Before booting,Before booting,Before booting,Booting,Awns appearing,,L5,line,1,0,1,0,3.3
1,Aditya,2,3,8,9,2.9262978344393096,14.954513952198523,30.6790847341996,25.8776171812361,28,2,8.17,7.48,6.73,110.466204,102.59392266434,101,43.2,8.8,51.2,44.25,68,76,Swollen boot,Awns appearing,Spikes appearing plus,Spikes have fully emerged,Anthesis stage II,,check,1,0,1,0,1,2.3
1,Aditya,2,3,7,9,4.044,16.7991725051646,38.9112463219179,26.0627824093158,36,2.5,7.84,7.16,4.93,113.157041119336,98.0868441451853,101,24.649999995,7.846666670000001,42.65,43.55,65,73,Spikes appearing,Spikes appearing,One fourth of spikes appeared plus,Anthesis stage I,Anthesis stage III,,check,1,0,1,0,1,2.3
L85,MUNAL #1*2/4/HUW234+LR34/PRINIA//PBW343*2/...,2,3,6,9,4.78553451,17.67142537051143,44.2223055853914,27.8303318592356,40,2,8.5,4.84,4.68,105.255892887874,66.6858049482699,98.5,28.209375,9.760000000000002,49.2,35.26666667,69,78,Booting,Booting,Spikes appearing plus,Half spikes appeared,Spikes have fully emerged plus,,L85,line,1,0,1,0,2.3
L32,ND643/2*WBLL1//ND643/2*WAXWING,2,3,5,9,3.2155803698336403,14.096330519383029,41.8034607413106,24.5816263099393,41,2.5,8.59,5.93,5.53,103.069690928939,81.3377159152843,97,32.9175,10.739999999999998,46.6,33.86666667,73,80,Before booting,Booting,Swollen boot,Spikes appearing plus,Half spikes appeared minus,,L32,line,1,0,1,0,2.3
L108,SUP152*2//ND643/2*WAXWING,1,3,4,9,3.44148321540351,12.947720375449189,41.5242278908691,28.1418841245141,36,4,8.84,4.06,4.02,100.423564449858,42.2822162262488,97.5,31,10.370000000000001,49.2,26.73333333,71,78,Before booting,Booting,Spikes appearing minus,Half spikes appeared minus,Three fourth of spikes appeared,,L108,line,1,0,1,0,1.3
4,Tilottama,1,3,3,9,3.96720681107488,16.1258754674802,36.6407041824379,27.5557696229,33,3,8.47,6.96,6.54,108.5368070952,90.3368742933123,93,29.18222222171111,10.86666667,42.05,28.55,62,70,Spikes appearing,Half spikes appeared,Three fourth of spikes appeared plus,Anthesis stage III,Anthesis advanced,,check,4,0,1,0,1,1.3
L7,MUU/FRNCLN,1,3,2,9,2.3972404063516,18.897567014198746,44.8704931774504,26.3158501800634,25,2.5,8.84,3.17,3.1,82.178673673896,47.3885540998275,94.5,33.434374999999996,10.1071428571428,49.4,24.33333333,72,78,Before booting,Booting,Swollen boot plus,One fourth of spikes appeared,Half spikes appeared,,L7,line,1,0,1,0,1.3
2,Bhrikuti,1,3,1,9,3.44203343541703,16.19091756617903,36.364099441547,24.1776561641837,43,4.5,8.62,6.53,6.38,107.124056001885,100.178315,85,29.722222222611112,9.5476190442857,44.4,33.25,63,72,Spikes appearing,Spikes appearing,Three fourth of spikes appeared,Anthesis stage II,Anthesis advanced,,check,2,0,1,0,1,1.3
L99,MUNAL #1*2//WBLL1*2/BRAMBLING,1,3,1,8,3.63278466508741,15.132268482635556,49.3449764853368,25.7225941515624,36,1.5,8.84,1.91,0.57,84.6049713314118,11.8572314805921,93.5,18.666666662,11.071428571428498,47.5,41.1,75,86,Before booting,Before booting,Before booting,Before booting,Awns appearing plus,Late anthesis,L99,line,1,0,1,0,1.3
1,Aditya,1,3,2,8,2.70109915966383,15.043613871288166,41.2312242166373,24.0569506868239,28,3.5,7.84,7.16,5.39,106.37196312511,93.1954373128237,103,22.493333338,9.1619047585714,48.15,27.1,64,70,Spikes appearing,Spikes appearing,Half spikes appeared plus,Anthesis stage III,Anthesis stage IV,,check,1,0,1,0,1,1.3
L101,PFAU/MILAN/5/CHEN/AEGILOPS SQUARROSA (TAUS)/...,1,3,3,8,3.2828006420545597,16.393273050869613,43.6489598584204,27.7478061390986,30,2,8.84,4.89,4.68,93.1878491311956,47.1899047738801,95,25.715555556511113,10.5857142857142,51.75,37.2,73,80,Before booting,Before booting,Swollen boot,Spikes appearing,Half spikes appeared,Watery stage minus,L101,line,1,0,1,0,1.3
3,Gautam,1,3,4,8,2.47429326414287,16.794996826732184,41.8417685988111,28.075217215065,29,2,7.79,7.25,4.38,103.880681083468,72.5586192653694,100,51.02222222511111,10.309523812857101,44.35,38.4,66,72,Awns appearing,Spikes appearing,One fourth of spikes appeared,Anthesis stage II,Anthesis stage III,,check,3,0,1,0,1,1.3
2,Bhrikuti,2,3,5,8,2.9663757575737497,13.395183630808404,39.229844853194,23.9795543958241,30,4,7.27,5.81,2.42,96.8536811620414,63.5196436347152,90,43.2,10.23333333,37.2,29.55,64,73,Spikes appearing,Spikes appearing,Half spikes appeared,Anthesis stage I,Anthesis stage IV,,check,2,0,1,0,1,2.3
4,Tilottama,2,3,6,8,2.89004857142855,18.38410851818938,30.794728026611402,26.4870210590583,29,1.5,8.14,7.56,5.83,114.049145381927,97.717236203678,104,44.85,9.100000000000001,42.5,27.55,64,73,Spikes appearing,One fourth of spikes appeared,Half spikes appeared minus,Anthesis stage I plus,Anthesis stage II,,check,4,0,1,0,1,2.3
L34,SNB//CMH79A.955/3*CN079/3/ATTILA/4/CHEN/...,2,3,7,8,,,,,32,2.5,8.67,2.32,2.18,80.4057008250065,13.8821365278931,97.5,30.265625,8.625,42.3,36.9,75,85,Before booting,Before booting,Before booting,Booting,Swollen boot,,L34,line,1,0,1,0,2.3
L96,PBW343*2/KHVAKI//PARUS/3/PBW343/PASTOR/5/...,2,3,8,8,1.8841084983763898,15.48571539197654,37.084419324971,22.6567640415441,18,2,8.67,4.26,4.14,86.2011374193612,53.8277046954928,93,33.988888886611115,8.875,51.95,29,74,84,Before booting,Before booting,Booting,Swollen boot,Spikes appearing plus,Watery stage minus,L96,line,1,0,1,0,2.3
L67,WHEAR/SOKOLL/4/PASTOR//MILAN/KAUZ/3/BAV92,3,3,9,8,4.79261,14.599413553800108,44.8812023215573,27.4786899139296,39,1.5,8.5,6.78,4.95,118.595500312021,95.1279405844103,101.5,40.122222218611114,11.7166666666666,47.075,38.76666667,74,85,Before booting,Before booting,Booting,Booting,Spikes appearing,Late anthesis,L67,line,1,0,1,0,3.3
L77,BECARD/6/FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP/...,3,3,10,8,3.80698006017111,17.593911297999714,45.1281406362396,26.3448278734045,36,1,7.73,5.26,2.84,100.70518759,60.6736961407693,105,55.94444446088889,11.5333333333333,47.56666667,47.23333333,73,84,Before booting,Before booting,Swollen boot minus,Swollen boot minus,One fourth of spikes appeared,Late anthesis,L77,line,1,0,1,0,3.3
3,Gautam,3,3,11,8,2.42133333333332,17.81209905210718,40.1680070727617,29.1846337355914,26,2,7.64,6.85,4.3,91.218148627626,68.5703621969996,102,49.520625,11.833333330000002,48.375,40.95,67,72,Awns appearing,Awns appearing,One fourth of spikes appeared minus,Anthesis stage II,Anthesis stage III,,check,3,0,1,0,1,3.3
4,Tilottama,3,3,12,8,3.95506358427187,17.209358201962637,35.7375498249161,24.5399162841075,39,3,7.64,6.61,5.37,106.332470382911,82.2281079980393,99,41.965624999999996,11.1166666666666,44.66666667,37.75,62,70,Spikes appearing,Half spikes appeared,Three fourth of spikes appeared,Anthesis stage III,Anthesis advanced,,check,4,0,1,0,1,3.3
2,Bhrikuti,4,3,13,8,4.56977751892378,15.035389030901353,35.4423838788236,25.5210235239866,40,2.5,7.83,6.29,2.79,110.00054285,70.9708741253867,86,34.128125000000004,11.1666666633333,46.2,34.7,65,73,Awns appearing,Spikes appearing,Half spikes appeared,Anthesis stage I,Anthesis stage III plus,,check,2,0,1,0,1,4.3
L9,DANPHE #1*2/SHORTENED SR26 TRANSLOCATION,4,3,14,8,3.1453240630159804,16.33438390248866,34.8844896965138,28.919519831852,36,4.5,8.5,4.46,4.01,104.397037857072,56.7958451636717,99.5,31.643749999999997,10.549999999999999,42.25,25.76666667,73,80,Before booting,Before booting,Swollen boot minus,Spikes appearing,Half spikes appeared,Watery stage plus,L9,line,1,0,1,0,4.3
L66,MON/IMU//ALD/PVN/3/BORL95/4/OASIS/2*BORL95/...,4,3,15,8,,16.783671769583794,,,32,1.5,8.69,5.61,5.55,108.60023012856,61.296221378711,103,51.52777779338889,11.9916666666666,49.775,39.16666667,74,82,Before booting,Before booting,Booting plus,Awns appearing minus,Half spikes appeared,Watery stage,L66,line,1,0,1,0,4.3
3,Gautam,4,3,16,8,3.56169260720862,14.847802703293787,37.8807496628961,28.0690639698298,31,1.5,8.56,6.93,5.99,112.3144343,80.5121820333318,108,43.82777776338889,12.383333333333301,44.46666667,43.95,71,80,Booting,Swollen boot,Swollen boot plus,Spikes appearing,Spikes have fully emerged minus,,check,3,0,1,0,1,4.3
1,Aditya,5,3,17,8,3.55824214130096,13.047621766246479,40.5007662037829,28.1961986690239,23,1.5,7.97,6.93,5.7,109.61362115,92.296581668,112,35.2,10.366666669999999,43.2,40.35,68,73,Swollen boot,Awns appearing,Spikes appearing plus,Anthesis stage I,Anthesis stage II,,check,1,0,1,0,1,5.3
1,Aditya,5,3,18,8,4.51112280701754,18.924685011007313,47.92674065,26.0699998436471,29,1.5,8.11,7.48,5.82,122.49752376489,100.345944233225,104,36.2,11.152380955714202,47.83333333,40.55,69,78,Swollen boot,Awns appearing,Spikes appearing minus,Three fourth of spikes appeared,Anthesis stage II,,check,1,0,1,0,1,5.3
L91,PBW343/PASTOR//OTUS/TOBA97*2/3/PICAFLOR #1,5,3,19,8,1.2679589085072198,15.874848083807523,35.1362318808803,24.8928452297969,28,3,8.84,0.7,0.2,71.4541482516517,21.3731337706503,98,28.533333327999998,11.6964285714285,34.5,32.76666667,75,86,Before booting,Before booting,Before booting,Before booting,Booting,Late anthesis,L91,line,1,0,1,0,5.3
L44,SUP152/2*MUNAL #1,5,3,20,8,2.42771091828553,13.527649839034433,47.8912397200238,24.0339766822218,24,4.5,7.79,5.81,4.3,87.73488943,74.8189301157495,100,35.146875,10.8571428571428,45.575,24.1,64,73,Spikes appearing,Spikes appearing,Half spikes appeared minus,Anthesis stage I,Anthesis stage II plus,Soft dough stage,L44,line,1,0,1,0,5.3
2,Bhrikuti,5,3,20,7,3.92170594369741,16.802708515292398,43.509933916733,31.0250975966782,29,4.5,7.9,5.96,4.97,102.15588115059,75.7578818664981,85,30.5500000065,10.7095238128571,49.13333333,41.6,66,73,Awns appearing,Spikes appearing,One fourth of spikes appeared plus,Anthesis stage I,Anthesis stage III,,check,2,0,1,0,1,5.3
4,Tilottama,5,3,19,7,4.2188194150429,15.708133423245126,38.1706117794794,32.4549860636906,31,2.5,8.1,5.73,3.97,107.676282619284,51.7398613001433,90,26.512500000000003,11.528571428571402,45.7,33.1,63,72,Spikes appearing,One fourth of spikes appeared,Three fourth of spikes appeared,Anthesis stage II,Anthesis stage IV,,check,4,0,1,0,1,5.3
L29,MERCATO//PARUS/PASTOR,5,3,18,7,,16.50675501089567,,,31,1.5,8.4,7.56,7.6,125.23996751645,100.348679215592,106.5,29.133333327000003,11.189285714285699,43.925,41.4,74,85,Before booting,Before booting,Booting,Booting,Swollen boot,Late anthesis,L29,line,1,0,1,0,5.3
L21,ND643/2*WBLL1/3/KIRITATI//2*PRL/2*PASTOR/4/...,5,3,17,7,,16.336918860636114,,,34,2,8.49,6.49,6.31,111.926432396952,85.332507584117,104,31.919999999999998,10.750000000000002,46.625,42.9,74,80,Before booting,Booting,Booting,Spikes appearing,Three fourth of spikes appeared,Watery stage,L21,line,1,0,1,0,5.3
2,Bhrikuti,4,3,16,7,3.8458905586592103,19.147850440754503,36.2394032302748,27.8664413727213,31,4.5,7.45,6.53,3.5,109.136145900719,75.3298375028278,92,32.373333328,9.833333330000002,42.33333333,41.15,64,73,Spikes appearing,Spikes appearing,Half spikes appeared,Anthesis stage I,Anthesis stage III,,check,2,0,1,0,1,4.3
4,Tilottama,4,3,15,7,2.20088544053574,17.072000540082946,37.0862857876801,24.772520473311,27,5,7.97,6.93,5.1,106.374423963251,79.4049291357194,102,33.426666659400006,10.533333330000001,44.9,26,62,71,Spikes appearing,Half spikes appeared,Three fourth of spikes appeared,Anthesis stage III minus,Anthesis advanced,,check,4,0,1,0,1,4.3
1,Aditya,4,3,14,7,2.8551159555404,16.53472513565722,36.7634479332948,24.7923446133667,32,2,7.99,7.88,5.82,113.951647196521,107.093689734799,107,46.055625,10.466666670000002,45.56666667,44.3,67,76,Awns appearing,Awns appearing,Spikes appearing plus,Spikes have fully emerged,Anthesis stage II,,check,1,0,1,0,1,4.3
L84,NL971*2/MUU,4,3,13,7,3.82518009630817,15.579554908224713,35.5272511960609,25.1678794633576,46,3,8.84,6.95,6.14,124.600160592264,102.692083751324,104.5,39.80625,11.450000000000001,44.9,42.03333333,74,84,Before booting,Before booting,Booting,Swollen boot,Spikes appearing,Late anthesis,L84,line,1,0,1,0,4.3
1,Aditya,3,3,12,7,3.14784256327302,17.091625448273223,35.5005646577427,25.3839998503345,30,2,7.95,7.16,5.02,112.563674542334,94.5766490211653,108,34.773333328,10.166666670000001,45.86666667,40.55,68,78,Swollen boot,Awns appearing plus,Spikes appearing plus,Three fourth of spikes appeared,Anthesis stage II,,check,1,0,1,0,1,3.3
L87,MUNAL #1*2/4/HUW234+LR34/PRINIA//PBW343*2/...,3,3,11,7,3.6711794542536103,15.87626796689432,46.0823995361304,27.1176378597211,37,1.5,8.24,4.56,4.46,103.291928254412,75.7684978748807,97,26.01,11.750000000000002,50.725,35.06666667,73,78,Before booting,Booting,Swollen boot,One fourth of spikes appeared,Half spikes appeared,Late anthesis,L87,line,1,0,1,0,3.3
L18,SUP152/KENYA SUNBIRD,3,3,10,7,3.4266977669594203,13.255443749500026,37.7434535701569,26.5300993711685,37,5.5,8.67,3.19,1.64,82.8243439213146,32.2555912152568,95,41.45625,11.3388888888888,39.825,23.3,63,73,Spikes appearing,One fourth of spikes appeared,Three fourth of spikes appeared,Anthesis stage I,Anthesis stage III,Soft dough stage plus,L18,line,1,0,1,0,3.3
2,Bhrikuti,3,3,9,7,3.86569336143258,15.477967890615488,38.2851078038446,24.8907184019472,26,3,7.92,6.53,4.51,106.334769812535,85.7936367374165,91,36.736875,10.377777777777702,43.23333333,38.1,64,78,Spikes appearing,Spikes appearing,Half spikes appeared minus,Three fourth of spikes appeared,Anthesis stage III,,check,2,0,1,0,1,3.3
L15,FRANCOLIN #1*2/ND643/2*WBLL1,2,3,8,7,2.8436043737935996,14.74284437731744,37.6615966184989,24.5714460421791,35,3.5,8.67,4.23,3.97,90.2601747243322,60.035496225966,89,50.349999999999994,9.024999999999999,48.85,31.93333333,73,81,Before booting,Booting,Swollen boot minus,Spikes appearing minus,Three fourth of spikes appeared,Watery stage minus,L15,line,1,0,1,0,2.3
L72,TRCH/5/BAV92//IRENA/KAUZ/3/HUITES/4/DOLL,2,3,7,7,,15.609939005052276,,,26,6,8.13,5.26,4.8,96.3450008034,77.7823697692215,104,36.688888887611114,8.925,44.35,39.13333333,75,85,Before booting,Before booting,Before booting,Booting,Swollen boot,Late anthesis,L72,line,1,0,1,0,2.3
3,Gautam,2,3,6,7,4.11245507988197,19.232724787631167,37.1639905991151,31.9241832502389,35,5,8.38,7.16,6.81,117.07923277,79.1784849264553,106,31.5,8.36666667,44.13333333,38.75,66,72,Awns appearing,Spikes appearing,One fourth of spikes appeared,Anthesis stage II,Anthesis stage II plus,,check,3,0,1,0,1,2.3
3,Gautam,2,3,5,7,4.41804547375263,18.96972357986695,44.5380851810351,30.6974969372412,34,6,7.75,6.53,4.19,109.237993446258,68.2066220317444,110,46.22222221911112,8.533333330000001,44.43333333,36.85,68,76,Swollen boot,Awns appearing,Spikes appearing plus,Spikes have fully emerged,Anthesis stage III,,check,3,0,1,0,1,2.3
4,Tilottama,1,3,4,7,3.56347309371428,16.105481189690316,38.024661278,28.2903405437386,27,3,7.96,5.33,4.45,93.5803587445634,83.2292907340189,99,36,8.63333333,43.36666667,25.65,63,72,Spikes appearing,One fourth of spikes appeared,Three fourth of spikes appeared minus,Anthesis stage II,Anthesis advanced minus,,check,4,0,1,0,1,1.3
2,Bhrikuti,1,3,3,7,3.7011000000000003,18.29992920455894,37.7338581837,28.133652898797,34,4,7.69,6.93,4.62,107.34876241356,88.8240239377765,96,50.098124999999996,9.06666667,41.7,36.85,63,72,Spikes appearing,Spikes appearing plus,Three fourth of spikes appeared,Anthesis stage II,Anthesis stage IV,,check,2,0,1,0,1,1.3
L6,SUP152/FRNCLN,1,3,2,7,,,,,25,8,7.85,6.21,4.42,106.406558107245,71.6822872364312,107,45.47111109658889,9.375,44,22.66666667,70,78,Booting,Swollen boot,Awns appearing plus,Three fourth of spikes appeared,Anthesis stage I minus,Watery stage,L6,line,1,0,1,0,1.3
