"plot","row","col","rowgroup","colgroup","lin_check","leaf_dec_27","spread_dec_27","insect_score_dec_27","disease_score_dec_27","leaf_dec_27.1","spread_dec_27.1","insect_score_dec_27.1","disease_score_dec_27.1","leaf_dec_27.2","spread_dec_27.2","insect_score_dec_27.2","disease_score_dec_27.2","leaf_dec_27.3","spread_dec_27.3","insect_score_dec_27.3","disease_score_dec_27.3","leaf_dec_27.4","spread_dec_27.4","insect_score_dec_27.4","disease_score_dec_27.4","leaf_dec_27.5","spread_dec_27.5","insect_score_dec_27.5","disease_score_dec_27.5","remarks_dec_27"
19,7,2,1,3,"L6",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,"app, lower side"
7,7,1,1,3,"1",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
6,6,1,1,2,"L45",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,"wilt, yellow"
18,6,2,1,2,"2",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app"
30,6,3,1,2,"L8",NA,NA,0,5,NA,NA,0,2,NA,NA,5,5,NA,NA,0,4,NA,NA,0,5,NA,NA,0,5,"app, wilt++"
42,6,4,1,2,"1",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app"
54,6,5,2,2,"L65",NA,NA,0,0,NA,NA,15,0,NA,NA,10,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,"app"
66,6,6,2,2,"2",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
78,6,7,2,2,"4",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
90,6,8,2,2,"3",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app-"
102,6,9,3,2,"L103",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,"sparse, ND, slow growth"
114,6,10,3,2,"2",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
126,6,11,3,2,"L69",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,NA,NA,NA,NA,"wilt, ND"
138,6,12,3,2,"3",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
150,6,13,4,2,"3",NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
162,6,14,4,2,"L48",NA,NA,5,0,NA,NA,0,0,NA,NA,10,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"yellow, wilt"
174,6,15,4,2,"4",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app-"
186,6,16,4,2,"4",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
198,6,17,5,2,"L70",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,""
210,6,18,5,2,"L19",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"ND, high growth"
222,6,19,5,2,"1",NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
234,6,20,5,2,"4",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
233,5,20,5,2,"L36",NA,NA,10,0,NA,NA,10,0,NA,NA,0,0,NA,NA,5,0,NA,NA,5,0,NA,NA,NA,NA,""
221,5,19,5,2,"L90",NA,NA,10,0,NA,NA,5,0,NA,NA,10,0,NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,""
209,5,18,5,2,"4",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
197,5,17,5,2,"3",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,""
185,5,16,4,2,"L52",NA,NA,5,0,NA,NA,0,0,NA,NA,10,0,NA,NA,0,0,NA,NA,5,0,NA,NA,NA,NA,"app, yellow"
173,5,15,4,2,"L14",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,1,NA,NA,NA,NA,"wilt, yellow, aphid"
161,5,14,4,2,"2",NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
149,5,13,4,2,"2",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,"app"
137,5,12,3,2,"2",NA,NA,5,2,NA,NA,0,0,NA,NA,0,0,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,"app"
125,5,11,3,2,"L23",NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,5,0,NA,NA,5,0,NA,NA,NA,NA,"yellow"
113,5,10,3,2,"3",NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,"yellow"
101,5,9,3,2,"L105",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,"ND"
89,5,8,2,2,"4",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app"
77,5,7,2,2,"3",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
65,5,6,2,2,"L42",NA,NA,0,1,NA,NA,0,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,""
53,5,5,2,2,"1",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,10,0,NA,NA,NA,NA,""
41,5,4,1,2,"L80",NA,NA,5,0,NA,NA,5,0,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,""
29,5,3,1,2,"1",NA,NA,0,0,NA,NA,0,0,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
17,5,2,1,2,"L63",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,"yellow"
5,5,1,1,2,"4",NA,NA,5,0,NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,""
4,4,1,1,2,"3",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
16,4,2,1,2,"4",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"wilting"
28,4,3,1,2,"L93",NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"yellow"
40,4,4,1,2,"2",NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app"
52,4,5,2,2,"1",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
64,4,6,2,2,"L71",NA,NA,0,0,NA,NA,5,0,NA,NA,5,0,NA,NA,0,0,NA,NA,5,0,NA,NA,NA,NA,"app"
76,4,7,2,2,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app"
88,4,8,2,2,"L16",NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
100,4,9,3,2,"4",NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
112,4,10,3,2,"L51",NA,NA,0,1,NA,NA,0,1,NA,NA,0,1,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,""
124,4,11,3,2,"1",NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"aphid+"
136,4,12,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
148,4,13,4,2,"L102",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,"yellow, aphid"
160,4,14,4,2,"L74",NA,NA,5,0,NA,NA,10,1,NA,NA,0,1,NA,NA,10,0,NA,NA,0,0,NA,NA,NA,NA,""
172,4,15,4,2,"3",NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
184,4,16,4,2,"1",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
196,4,17,5,2,"3",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app"
208,4,18,5,2,"L11",NA,NA,5,0,NA,NA,0,0,NA,NA,5,1,NA,NA,5,0,NA,NA,0,0,NA,NA,5,0,"ND"
220,4,19,5,2,"L104",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,""
232,4,20,5,2,"2",NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND, aphid+"
231,3,20,5,1,"4",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND, aphid"
219,3,19,5,1,"L30",NA,NA,5,0,NA,NA,10,0,NA,NA,5,0,NA,NA,10,0,NA,NA,0,0,NA,NA,NA,NA,"wilting"
207,3,18,5,1,"2",NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
195,3,17,5,1,"1",NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app"
183,3,16,4,1,"L3",NA,NA,10,0,NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"ND, white spots"
171,3,15,4,1,"3",NA,NA,5,0,NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
159,3,14,4,1,"L27",NA,NA,2.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"healthy, grassy"
147,3,13,4,1,"1",NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
135,3,12,3,1,"L39",NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,NA,NA,NA,NA,"app-"
123,3,11,3,1,"3",NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"app"
111,3,10,3,1,"1",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
99,3,9,3,1,"1",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
87,3,8,2,1,"L78",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,5,0,NA,NA,NA,NA,""
75,3,7,2,1,"3",NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
63,3,6,2,1,"L73",NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,"wilting"
51,3,5,2,1,"2",NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND"
39,3,4,1,1,"L31",NA,NA,5,0,NA,NA,5,0,NA,NA,5,0,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,"grassy, healthy"
27,3,3,1,1,"4",NA,NA,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
15,3,2,1,1,"L64",NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,NA,NA,5,0,NA,NA,0,0,NA,NA,5,0,"yellowing"
3,3,1,1,1,"2",NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
2,2,1,1,1,"L107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
14,2,2,1,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
26,2,3,1,1,"L61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
38,2,4,1,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
50,2,5,2,1,"L47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,2,6,2,1,"L97",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2,7,2,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,2,8,2,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,2,9,3,1,"L35",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110,2,10,3,1,"L59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,2,11,3,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,2,12,3,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,2,13,4,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
158,2,14,4,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
170,2,15,4,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
182,2,16,4,1,"L68",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
194,2,17,5,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,2,18,5,1,"L81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,2,19,5,1,"L2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,2,20,5,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,1,20,5,1,"L26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,1,19,5,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,1,18,5,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
193,1,17,5,1,"L86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,1,16,4,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
169,1,15,4,1,"L22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,1,14,4,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
145,1,13,4,1,"L54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,1,12,3,1,"L60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,1,11,3,1,"L55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,1,10,3,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,1,9,3,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,1,8,2,1,"L56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,1,7,2,1,"L1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,1,6,2,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,1,5,2,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,4,1,1,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,3,1,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,2,1,1,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,"L20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
