lin_check,line_or_check,dis_feb,dis_march
L106,Line,1.969,1.5
3,Check,3.774,2
1,Check,1.325,2.5
L79,Line,7.264,3.5
L92,Line,8.085,5
1,Check,3.774,3
1,Check,4.749,4
2,Check,8.16,4
3,Check,4.609,4
L12,Line,6.628,2
4,Check,5.061,4
L98,Line,6.589,1.5
L17,Line,7.96,4
3,Check,5.01,2
L37,Line,6.52,2.5
4,Check,4.418,3
2,Check,3.513,4
4,Check,5.271,5
L95,Line,8.456,3
L88,Line,3.848,2
1,Check,3.322,2
4,Check,5.915,5
L49,Line,4.973,3
L38,Line,5.224,5.5
3,Check,5.462,3
2,Check,5.966,5
1,Check,5.271,2.5
L10,Line,6.559,3
2,Check,4.138,2
L4,Line,4.61,4
2,Check,3.134,3
L13,Line,4.227,1.5
3,Check,4.963,2.5
L43,Line,5.322,2
L58,Line,4.683,5.5
L24,Line,6.721,2
L33,Line,3.657,2.5
4,Check,6.246,4
1,Check,2.299,5
3,Check,3.372,3
L89,Line,6.087,3
2,Check,1.568,3
2,Check,1.847,1.5
L57,Line,4.231,3.5
4,Check,2.421,2
4,Check,4.488,2.5
L94,Line,8.497,4
3,Check,5.685,2.5
L46,Line,6.82,2.5
L53,Line,3.256,2.5
1,Check,1.777,2
4,Check,4.8,2.5
L82,Line,5.824,0.5
2,Check,3.013,2.5
L62,Line,5.183,2.5
1,Check,2.038,2
3,Check,4.227,2
3,Check,2.299,2.5
L40,Line,2.299,1
3,Check,4.296,2
2,Check,7.529,2.5
L76,Line,4.944,2.5
4,Check,1.829,2.5
2,Check,5.392,3
L28,Line,5.014,3.5
L41,Line,5.896,3.5
4,Check,5.341,1.5
L83,Line,3.827,2.5
1,Check,5.15,1.5
3,Check,4.077,2.5
L5,Line,5.584,1
1,Check,2.299,2
1,Check,4.488,2.5
L85,Line,4.352,2
L32,Line,3.396,2.5
L108,Line,6.419,4
4,Check,3.275,3
L7,Line,7.011,2.5
2,Check,2.873,4.5
L99,Line,7.322,1.5
1,Check,3.826,3.5
L101,Line,5.896,2
3,Check,5.08,2
2,Check,7.319,4
4,Check,3.564,1.5
L34,Line,8.729,2.5
L96,Line,4.944,2
L67,Line,3.826,1.5
L77,Line,7.632,1
3,Check,5.144,2.5
4,Check,4.138,3
2,Check,6.989,2.5
L9,Line,6.157,4.5
L66,Line,3.848,1.5
3,Check,1.287,1.5
1,Check,3.947,1.5
1,Check,3.634,1.5
L91,Line,8.469,3
L44,Line,5.322,4.5
2,Check,4.609,4.5
4,Check,6.055,2.5
L29,Line,1.568,1.5
L21,Line,3.517,2
2,Check,6.867,4.5
4,Check,3.947,5
1,Check,3.372,2
L84,Line,2.02,3
1,Check,4.488,2
L87,Line,6.419,1.5
L18,Line,7.916,5.5
2,Check,4.87,3
L15,Line,6.798,3.5
L72,Line,5.185,6
3,Check,1.829,4
3,Check,4.701,3.5
4,Check,5.653,3
2,Check,4.609,4
L6,Line,5.987,8
1,Check,4.087,6.5
L45,Line,4.161,3.5
2,Check,3.396,2
L8,Line,9.707,7
1,Check,4.539,2.5
L65,Line,6.607,3
2,Check,4.227,3.5
4,Check,6.055,1.5
3,Check,5.032,2.5
L103,Line,5.985,2.5
2,Check,2.421,3.5
L69,Line,6.747,2
3,Check,4.628,1.5
3,Check,3.256,2
L48,Line,5.705,2
4,Check,5.01,3.5
4,Check,3.564,4.5
L70,Line,4.731,2.5
L19,Line,8.033,3.5
1,Check,5.771,3
4,Check,4.138,1
L36,Line,8.688,5.5
L90,Line,5.756,6
4,Check,5.061,3.5
3,Check,4.227,1.5
L52,Line,6.798,4
L14,Line,3.97,4
2,Check,2.038,1.5
2,Check,3.947,1.5
2,Check,2.491,2
L23,Line,9.076,6
3,Check,2.23,2.5
L105,Line,5.583,4.5
4,Check,5.08,3.5
3,Check,2.389,1.5
L42,Line,3.204,6
1,Check,1.185,3
L80,Line,5.021,3
1,Check,4.035,2
L63,Line,3.97,6
4,Check,4.399,5
3,Check,4.889,3
4,Check,5.794,4
L93,Line,7.32,5
2,Check,2.491,4
1,Check,2.299,3.5
L71,Line,5.091,6
2,Check,3.947,3
L16,Line,5.844,5
4,Check,4.087,3.5
L51,Line,6.82,6
1,Check,2.038,3
L102,Line,3.064,4
L74,Line,5.755,4
3,Check,5.76,2.5
1,Check,4.8,4
3,Check,6.048,2
L11,Line,3.858,2
L104,Line,8.119,6
2,Check,3.303,5
4,Check,6.797,3
L30,Line,5.422,1
2,Check,5.15,2.5
1,Check,4.679,1.5
L3,Line,3.587,1.5
3,Check,3.947,1
L27,Line,8.916,4.5
1,Check,2.038,2.5
L39,Line,3.587,2
3,Check,2.421,2
1,Check,2.612,1.5
1,Check,3.354,3
L78,Line,4.852,3
3,Check,5.235,2
L73,Line,5.061,2.5
2,Check,3.564,1
L31,Line,3.325,2.5
4,Check,3.466,1
L64,Line,4.259,3
2,Check,3.947,2
L107,Line,4.348,6
1,Check,1.847,3
L61,Line,7.199,4
4,Check,4.539,3
L47,Line,2.524,3
L97,Line,7.788,8
2,Check,4.469,5
1,Check,3.204,2
L35,Line,5.756,7
L59,Line,5.304,3
2,Check,3.545,6
3,Check,3.545,2
3,Check,4.138,2
4,Check,2.612,6
1,Check,2.23,4
L68,Line,3.708,8
4,Check,3.947,5
L81,Line,6.328,4
L2,Line,4.296,7
3,Check,2.449,2
L26,Line,5.462,7
1,Check,3.372,4
3,Check,2.038,3
L86,Line,5.374,7
2,Check,3.064,6
L22,Line,5.304,7
4,Check,3.947,6
L54,Line,4.782,4
L60,Line,4.712,5
L55,Line,7.06,3
4,Check,2.873,4
2,Check,2.902,2
L56,Line,6.419,6
L1,Line,4.52,4
1,Check,2.02,3
4,Check,5.061,3
1,Check,1.586,4
3,Check,2.832,4
2,Check,3.204,3
L20,Line,3.97,6
